distance_km,current_speed_kmh,hour_of_day,day_of_week,is_weekend,traffic_level,eta_minutes
10.523,35.32,22,0,0,0.14,20.31
12.346,37.13,9,5,1,0.092,21.33
11.946,37.57,6,3,0,0.05,21.43
1.585,27.09,14,4,0,0.459,5.97
2.907,19.16,7,3,0,0.711,9.85
3.871,38.51,9,6,1,0.11,6.92
4.886,38.87,3,4,0,0.051,7.73
14.808,39.6,23,6,1,0.03,24.51
10.747,39.12,13,5,1,0.041,16.84
9.548,31.54,15,3,0,0.446,18.37
7.164,13.89,9,0,0,0.886,31.41
5.532,10.02,17,2,0,0.997,34.8
3.389,41.21,14,6,1,0.038,7.28
0.729,36.58,20,1,0,0.141,2.84
8.614,34.78,5,2,0,0.197,15.17
10.629,12.84,7,4,0,0.956,51.71
7.897,26.9,12,0,0,0.454,20.04
14.019,31.92,12,2,0,0.342,27.78
3.186,37.15,2,3,0,0.147,6.66
8.861,38.5,22,5,1,0.043,14.74
12.067,37.94,2,2,0,0.101,19.93
14.834,40.61,8,6,1,0.065,24.1
4.12,40.44,21,3,0,0.0,7.68
11.379,36.71,21,3,0,0.137,19.47
1.86,12.79,7,1,0,0.979,11.04
11.894,40.81,12,6,1,0.002,19.42
10.686,36.44,22,1,0,0.228,19.93
5.949,36.18,13,5,1,0.143,11.55
11.562,35.62,15,6,1,0.194,20.65
11.717,33.05,20,6,1,0.188,21.97
12.868,32.6,8,5,1,0.299,24.22
5.372,26.24,11,0,0,0.532,14.57
3.243,29.34,11,0,0,0.483,7.16
8.569,34.28,20,4,0,0.251,17.32
5.805,32.45,5,4,0,0.225,11.44
6.569,37.0,23,0,0,0.1,11.39
1.102,33.34,6,3,0,0.179,2.72
9.484,36.57,4,2,0,0.152,16.44
13.737,36.88,3,1,0,0.137,23.22
6.817,23.01,18,1,0,0.711,18.13
5.041,36.41,0,1,0,0.103,10.63
1.396,36.9,8,6,1,0.049,3.76
2.682,25.37,13,4,0,0.434,7.52
10.098,21.23,19,1,0,0.671,29.27
2.165,32.5,15,0,0,0.302,5.02
6.335,13.04,17,3,0,0.903,29.89
4.833,28.12,15,0,0,0.432,11.82
13.015,38.66,19,5,1,0.052,21.41
2.195,27.03,14,1,0,0.39,5.28
2.19,35.4,4,5,1,0.271,4.57
11.129,32.57,3,2,0,0.279,22.14
13.527,21.45,17,1,0,0.731,37.87
12.485,33.61,4,1,0,0.173,24.74
3.613,16.39,8,2,0,0.838,15.07
0.97,30.17,10,3,0,0.367,3.8
8.638,32.3,21,3,0,0.295,16.69
14.561,36.53,20,6,1,0.043,26.39
8.829,32.65,9,5,1,0.269,18.09
1.608,31.55,2,4,0,0.238,5.14
5.696,35.54,12,5,1,0.17,10.07
2.524,32.53,14,5,1,0.229,5.17
0.743,40.7,4,5,1,0.023,2.15
9.224,30.13,14,4,0,0.394,19.92
5.316,37.56,13,5,1,0.021,9.53
2.187,31.24,18,6,1,0.282,5.09
8.485,25.09,15,3,0,0.544,21.82
5.915,29.11,10,1,0,0.332,13.88
10.043,34.0,15,6,1,0.119,18.18
2.774,38.84,15,5,1,0.047,6.06
1.888,31.58,7,6,1,0.219,5.98
3.696,32.49,7,6,1,0.28,8.4
6.347,36.58,9,5,1,0.159,12.1
6.713,32.88,1,2,0,0.268,13.5
6.79,26.72,14,1,0,0.454,16.02
8.809,27.71,15,2,0,0.468,20.82
5.203,22.08,16,0,0,0.684,16.28
12.396,41.12,2,5,1,0.04,19.22
11.813,18.86,8,3,0,0.676,38.74
6.749,19.23,8,0,0,0.672,21.83
8.424,36.11,1,4,0,0.17,15.1
12.06,17.09,9,0,0,0.876,42.46
2.815,30.11,15,1,0,0.323,6.2
12.537,36.08,21,4,0,0.091,21.54
1.021,36.75,17,5,1,0.064,2.72
0.64,32.21,2,4,0,0.219,2.94
5.78,38.73,3,6,1,0.002,9.11
8.263,33.75,14,6,1,0.225,15.18
1.851,36.97,12,5,1,0.049,3.56
5.105,39.48,3,4,0,0.026,8.48
4.556,25.28,13,1,0,0.499,12.99
11.507,34.83,2,6,1,0.118,21.25
12.179,35.57,22,3,0,0.164,22.38
5.525,39.52,1,5,1,0.038,9.85
5.394,37.35,1,4,0,0.074,11.11
5.5,21.0,19,3,0,0.725,17.69
2.546,37.18,3,1,0,0.119,4.5
11.2,33.8,4,5,1,0.201,22.37
2.765,31.48,6,3,0,0.293,7.25
10.062,32.11,20,4,0,0.191,20.35
10.148,36.71,15,5,1,0.007,17.66
4.545,40.0,10,6,1,0.03,7.45
7.329,33.61,10,3,0,0.359,14.72
11.823,33.86,6,1,0,0.181,21.67
1.852,30.49,10,4,0,0.341,4.02
13.399,32.06,21,1,0,0.23,25.12
7.229,15.68,9,0,0,0.85,29.53
3.671,40.51,4,5,1,0.039,5.55
11.145,35.5,1,1,0,0.178,19.87
2.333,20.68,8,1,0,0.633,8.14
3.032,36.1,1,6,1,0.242,6.03
12.187,38.52,4,3,0,0.05,20.35
12.677,32.98,23,5,1,0.24,25.22
2.685,32.99,5,3,0,0.297,7.37
9.279,35.34,0,4,0,0.204,18.12
4.789,30.58,12,2,0,0.325,9.72
6.914,35.06,13,5,1,0.205,14.09
12.64,39.22,6,5,1,0.04,19.6
6.329,20.82,7,2,0,0.72,20.47
0.698,37.34,2,0,0,0.166,2.08
10.161,38.44,4,3,0,0.068,16.83
7.461,38.13,11,6,1,0.024,11.91
13.424,37.04,2,0,0,0.096,22.94
5.115,35.27,1,4,0,0.258,9.61
11.208,40.18,4,2,0,0.036,18.17
4.223,37.44,6,3,0,0.128,8.69
4.959,26.55,14,4,0,0.539,11.79
3.777,15.86,7,1,0,0.809,14.98
11.687,31.42,23,2,0,0.25,24.76
7.375,40.17,22,5,1,0.014,12.33
4.441,34.7,5,5,1,0.18,9.31
2.732,40.38,2,2,0,0.041,4.9
14.153,34.97,4,5,1,0.22,26.59
14.64,35.77,21,5,1,0.099,26.45
7.086,26.19,10,3,0,0.58,16.86
2.246,36.88,10,6,1,0.104,3.85
2.908,37.82,2,5,1,0.15,4.88
2.155,13.89,19,4,0,0.949,9.31
9.403,34.51,20,5,1,0.194,16.5
12.299,38.22,9,6,1,0.195,20.76
6.321,20.97,19,0,0,0.651,19.07
2.859,20.98,16,3,0,0.684,9.66
13.143,36.84,2,4,0,0.076,22.14
8.185,26.22,10,2,0,0.478,20.93
8.596,38.89,3,4,0,0.024,15.61
11.449,32.97,6,0,0,0.249,22.41
12.515,18.85,17,1,0,0.711,42.19
2.303,39.17,22,1,0,0.053,4.98
14.071,17.73,9,0,0,0.66,49.58
9.46,29.76,6,0,0,0.262,20.6
0.85,40.24,11,5,1,0.038,1.74
7.16,31.75,5,4,0,0.272,14.63
3.391,36.48,3,0,0,0.151,5.75
3.664,31.13,5,1,0,0.235,9.46
8.346,38.6,18,6,1,0.144,13.03
12.384,34.57,4,6,1,0.236,22.85
5.92,39.13,6,4,0,0.004,9.43
11.263,31.6,14,2,0,0.315,22.59
6.05,35.03,22,1,0,0.044,11.63
1.4,34.86,12,6,1,0.156,4.7
11.778,31.93,1,0,0,0.271,23.44
7.042,13.5,9,2,0,0.836,33.63
14.768,35.01,13,5,1,0.074,26.2
14.848,23.13,14,4,0,0.585,39.91
1.613,13.1,18,2,0,0.906,8.42
9.968,40.81,0,3,0,0.053,15.44
6.201,31.78,12,4,0,0.329,12.15
12.064,36.63,1,1,0,0.164,19.94
4.569,32.84,22,2,0,0.253,9.16
10.466,37.33,13,5,1,0.219,18.67
9.378,38.1,23,5,1,0.058,16.8
4.453,34.79,0,2,0,0.157,9.37
9.47,41.98,21,5,1,0.041,15.22
6.242,22.87,13,3,0,0.519,16.69
6.432,40.28,5,6,1,0.091,11.41
10.661,29.78,12,2,0,0.405,21.98
5.068,29.19,11,1,0,0.321,12.49
4.191,38.07,6,1,0,0.013,8.47
6.48,37.53,20,1,0,0.154,10.69
6.888,13.23,19,4,0,0.965,31.69
5.126,31.82,8,5,1,0.272,10.27
1.824,39.43,10,5,1,0.031,2.93
0.948,17.09,16,3,0,0.763,4.63
13.5,40.15,3,0,0,0.007,22.4
9.156,38.0,18,6,1,0.129,16.33
13.739,37.23,0,1,0,0.054,22.76
4.943,34.09,12,5,1,0.177,8.87
12.557,35.05,10,6,1,0.217,22.94
0.712,41.31,8,6,1,0.004,2.66
10.199,12.59,8,1,0,0.973,50.01
10.114,33.67,1,4,0,0.28,20.51
10.942,23.15,8,2,0,0.62,29.0
3.699,20.51,9,4,0,0.684,11.86
5.67,32.41,23,0,0,0.228,11.02
14.66,29.61,6,4,0,0.28,30.46
11.837,34.05,22,6,1,0.207,21.19
10.24,27.39,12,1,0,0.473,22.94
7.815,39.82,2,1,0,0.062,12.77
0.599,31.29,14,5,1,0.235,3.42
5.868,34.18,11,6,1,0.23,11.91
0.871,11.72,16,0,0,0.961,5.13
12.28,20.86,17,3,0,0.84,37.63
13.134,18.77,9,1,0,0.709,44.27
1.914,37.47,5,4,0,0.098,3.64
4.032,32.66,1,3,0,0.241,9.56
2.491,25.28,15,4,0,0.505,7.87
12.147,27.62,12,0,0,0.479,26.6
9.879,35.83,2,2,0,0.192,18.94
3.657,37.73,6,3,0,0.058,7.87
10.311,34.02,0,1,0,0.121,19.38
11.999,26.7,15,2,0,0.513,27.23
12.663,23.2,15,4,0,0.577,33.09
9.374,36.07,21,5,1,0.098,15.77
5.572,22.03,17,3,0,0.693,17.33
2.418,23.82,7,4,0,0.656,6.12
8.392,34.85,0,1,0,0.111,15.75
6.89,37.1,22,6,1,0.037,12.18
1.415,40.88,21,1,0,0.022,3.12
6.622,40.91,20,5,1,0.059,11.76
9.907,19.36,16,2,0,0.783,31.99
5.152,30.39,5,0,0,0.299,11.26
13.85,30.58,15,2,0,0.316,27.72
0.503,30.89,3,5,1,0.253,2.83
2.933,39.91,5,2,0,0.02,5.49
2.228,37.32,3,4,0,0.105,4.52
9.509,15.95,9,0,0,0.9,36.46
9.558,34.98,23,1,0,0.136,18.24
10.454,13.23,9,0,0,0.945,49.87
7.507,35.92,9,6,1,0.226,13.16
8.307,24.83,13,0,0,0.557,20.94
0.601,28.78,11,1,0,0.37,3.3
5.391,38.4,23,2,0,0.0,9.01
1.489,34.15,18,5,1,0.167,3.34
6.552,29.28,21,2,0,0.272,13.69
14.324,28.97,15,1,0,0.389,30.41
5.146,30.83,14,5,1,0.275,10.83
0.801,24.21,17,4,0,0.617,4.15
2.221,35.04,0,2,0,0.143,4.9
7.501,25.77,15,3,0,0.531,19.8
13.683,36.84,22,6,1,0.06,23.23
6.203,33.5,13,6,1,0.178,12.86
3.317,12.39,16,4,0,0.932,17.72
2.214,39.47,5,2,0,0.113,4.4
1.077,39.0,12,6,1,0.078,1.95
10.736,33.71,1,6,1,0.249,20.38
9.493,36.92,15,5,1,0.143,17.01
7.029,35.69,8,6,1,0.224,13.88
10.6,35.94,10,6,1,0.246,20.01
9.478,34.18,1,5,1,0.244,17.59
2.418,22.01,9,2,0,0.695,8.09
10.593,31.02,14,5,1,0.247,21.0
7.301,23.13,17,1,0,0.672,19.01
10.506,37.87,0,2,0,0.017,18.17
3.992,38.65,5,0,0,0.024,6.42
13.707,36.75,1,0,0,0.074,24.41
5.471,19.29,16,4,0,0.828,17.62
6.935,36.45,23,1,0,0.16,11.9
2.91,39.24,4,4,0,0.098,5.3
14.305,31.62,19,6,1,0.264,27.27
4.227,30.15,14,3,0,0.368,9.47
5.461,14.17,16,1,0,0.932,23.59
13.8,17.15,18,0,0,0.72,50.08
12.046,32.36,2,3,0,0.237,23.84
5.419,33.19,3,4,0,0.223,9.95
6.118,17.94,7,4,0,0.786,22.01
7.464,38.5,6,0,0,0.066,12.84
0.89,37.73,19,6,1,0.032,2.74
6.239,36.63,1,5,1,0.242,11.92
10.168,37.42,20,3,0,0.129,16.44
0.82,35.69,22,6,1,0.1,3.22
12.926,27.0,13,2,0,0.448,30.48
12.905,27.87,13,2,0,0.402,30.02
2.231,25.04,11,3,0,0.545,6.84
6.208,37.95,6,2,0,0.102,10.27
6.74,34.01,4,6,1,0.237,12.19
2.538,36.67,5,0,0,0.155,5.91
13.965,32.75,2,6,1,0.286,27.38
13.987,37.27,11,6,1,0.078,23.85
8.684,37.55,3,1,0,0.05,14.83
9.449,34.0,3,1,0,0.218,18.15
3.284,16.4,18,2,0,0.849,13.52
7.602,17.34,7,1,0,0.734,28.32
3.194,17.66,9,3,0,0.803,12.99
11.374,36.58,21,4,0,0.041,20.47
12.628,35.97,11,5,1,0.101,23.36
0.674,13.61,16,2,0,0.896,5.4
8.011,37.97,20,0,0,0.071,13.87
6.723,38.38,23,3,0,0.032,11.0
7.821,23.46,19,1,0,0.625,21.45
2.229,39.44,1,0,0,0.016,5.5
4.305,38.8,0,4,0,0.012,7.78
8.875,36.19,21,1,0,0.1,15.63
1.943,11.9,19,0,0,0.987,12.22
13.044,27.01,14,4,0,0.51,30.12
7.489,35.51,22,2,0,0.085,13.45
13.907,36.23,20,0,0,0.146,24.4
4.121,36.82,2,1,0,0.155,6.97
11.401,35.45,1,2,0,0.223,21.03
0.653,33.01,6,1,0,0.255,2.05
1.011,33.73,8,6,1,0.264,3.36
2.404,38.72,17,6,1,0.061,6.0
11.526,34.17,2,6,1,0.188,20.76
10.589,35.7,4,6,1,0.098,18.97
2.645,39.86,6,4,0,0.039,5.05
8.699,38.66,20,1,0,0.01,14.61
12.342,32.16,15,0,0,0.326,23.99
12.529,32.26,4,1,0,0.281,25.18
14.149,28.38,15,1,0,0.409,30.75
10.662,13.12,7,4,0,0.972,49.26
12.071,37.21,5,6,1,0.019,20.22
14.753,11.09,17,3,0,0.991,80.73
12.127,31.68,2,0,0,0.261,24.86
6.209,34.62,8,6,1,0.133,12.62
3.811,27.17,11,3,0,0.39,9.3
6.3,35.0,23,2,0,0.173,12.48
0.742,35.37,5,6,1,0.126,2.52
0.607,35.79,23,6,1,0.239,2.29
11.38,27.12,15,2,0,0.454,26.08
8.274,38.0,12,6,1,0.133,15.41
4.777,33.0,3,2,0,0.209,10.06
6.549,38.09,11,6,1,0.066,10.71
1.402,37.49,22,3,0,0.093,4.34
9.937,26.3,12,1,0,0.353,23.95
10.873,22.66,18,4,0,0.681,28.81
7.123,21.95,8,4,0,0.621,20.6
4.194,20.66,18,4,0,0.639,12.64
1.071,16.0,8,0,0,0.91,4.35
7.282,36.93,7,5,1,0.137,12.11
9.338,20.7,10,0,0,0.596,27.7
7.89,38.19,0,6,1,0.101,14.8
7.88,37.93,19,5,1,0.084,14.86
2.571,36.61,17,6,1,0.085,6.71
1.297,36.95,20,2,0,0.025,2.49
6.874,36.95,5,4,0,0.078,11.92
14.515,36.8,22,5,1,0.1,25.09
13.689,13.64,16,4,0,0.924,60.86
7.024,33.88,3,2,0,0.22,14.93
4.669,31.81,6,0,0,0.265,9.55
1.813,21.26,18,3,0,0.653,7.25
12.349,32.38,22,0,0,0.269,24.17
12.051,25.41,12,3,0,0.512,28.93
11.384,38.08,9,6,1,0.043,19.22
12.75,20.93,17,2,0,0.656,37.97
13.086,32.83,21,6,1,0.215,25.06
6.22,38.6,8,5,1,0.037,11.17
8.48,25.08,13,3,0,0.507,22.51
2.829,39.14,13,5,1,0.08,4.64
3.84,33.72,22,3,0,0.247,6.95
14.254,30.64,11,1,0,0.302,29.82
7.954,37.41,1,1,0,0.157,13.77
0.539,19.82,18,3,0,0.752,2.87
0.613,30.63,17,5,1,0.296,2.92
12.315,35.11,4,1,0,0.093,23.39
10.319,20.15,18,2,0,0.628,31.36
13.227,33.86,9,6,1,0.215,24.12
11.525,18.8,9,0,0,0.687,39.22
14.343,35.57,2,3,0,0.072,24.36
5.095,36.7,23,3,0,0.13,8.36
9.845,38.93,3,0,0,0.018,16.93
0.642,21.08,19,1,0,0.732,2.59
12.269,37.39,2,3,0,0.134,21.5
10.547,39.73,6,4,0,0.068,18.21
2.767,37.63,7,5,1,0.17,5.1
7.379,35.39,4,1,0,0.174,14.09
8.022,39.48,7,6,1,0.07,13.42
4.998,34.03,8,6,1,0.151,9.97
2.433,12.21,16,4,0,0.947,13.72
2.04,32.6,5,5,1,0.242,5.36
12.598,35.0,4,0,0,0.194,22.74
8.166,34.45,6,1,0,0.192,14.96
8.409,14.25,9,2,0,0.877,37.4
2.869,38.9,21,5,1,0.044,5.59
2.047,34.29,22,3,0,0.26,5.65
9.578,31.13,12,2,0,0.366,18.79
6.107,32.8,1,4,0,0.25,12.95
2.131,13.23,8,4,0,0.943,10.83
11.942,21.06,19,2,0,0.61,35.76
11.017,32.55,20,6,1,0.292,21.93
2.361,33.95,6,0,0,0.274,5.27
1.079,13.39,18,1,0,0.931,4.98
6.69,34.82,5,4,0,0.284,12.22
6.27,38.72,20,0,0,0.101,11.59
10.643,29.74,11,1,0,0.395,21.78
10.005,38.82,0,4,0,0.042,17.64
11.184,32.68,5,5,1,0.281,21.41
6.969,38.83,6,5,1,0.031,11.63
8.424,35.41,14,5,1,0.227,15.73
3.206,21.32,19,4,0,0.674,11.12
0.754,37.36,15,5,1,0.061,3.71
8.35,40.9,23,4,0,0.008,13.7
11.254,40.37,4,1,0,0.062,17.61
2.329,24.2,13,1,0,0.503,6.04
12.286,34.13,5,4,0,0.234,23.35
12.6,33.03,11,5,1,0.224,24.49
5.055,40.85,0,4,0,0.01,8.87
2.914,38.47,13,6,1,0.053,6.83
3.57,9.88,9,2,0,0.99,22.24
3.518,21.3,16,2,0,0.693,11.39
11.445,16.86,18,3,0,0.779,41.75
14.769,21.2,17,1,0,0.718,42.43
13.772,29.54,6,0,0,0.269,28.23
10.02,38.51,8,6,1,0.051,17.98
10.314,39.15,0,3,0,0.056,16.57
1.849,34.2,22,0,0,0.154,4.3
7.059,24.59,12,3,0,0.552,18.58
1.758,20.87,19,4,0,0.666,5.63
3.665,38.51,11,6,1,0.005,5.97
2.997,17.57,16,3,0,0.828,11.92
14.709,32.91,2,1,0,0.206,27.42
12.079,14.13,18,0,0,0.912,52.88
6.737,38.54,22,3,0,0.093,12.39
14.075,21.8,9,2,0,0.67,39.37
1.476,33.21,8,5,1,0.274,4.25
10.955,33.84,14,5,1,0.216,20.99
2.618,37.58,11,6,1,0.071,5.81
6.375,39.49,9,5,1,0.005,11.74
14.991,38.42,5,4,0,0.08,25.07
14.499,32.77,4,3,0,0.231,28.38
8.065,14.17,17,3,0,0.913,34.65
4.28,19.44,8,1,0,0.76,14.98
13.638,35.58,2,6,1,0.016,23.05
2.583,35.11,11,6,1,0.174,6.52
6.965,26.63,11,1,0,0.52,16.13
5.738,40.22,4,5,1,0.021,11.05
7.381,33.85,23,4,0,0.103,14.06
13.42,26.1,11,0,0,0.514,31.24
9.588,34.28,19,5,1,0.193,17.47
7.02,39.89,10,6,1,0.052,12.96
3.289,16.19,7,0,0,0.866,13.05
0.777,30.6,18,6,1,0.284,2.84
3.395,36.95,6,3,0,0.215,6.62
11.117,36.05,14,6,1,0.115,19.6
1.505,14.91,16,1,0,0.839,7.9
0.923,39.12,10,6,1,0.016,3.69
10.68,36.49,0,1,0,0.132,17.89
4.719,33.59,5,5,1,0.271,8.63
3.657,39.38,5,5,1,0.101,7.95
8.229,34.97,2,5,1,0.163,14.37
9.533,13.08,8,1,0,0.911,44.3
2.886,31.25,1,0,0,0.278,6.83
1.721,36.9,23,2,0,0.2,3.51
8.994,32.61,2,1,0,0.29,17.16
10.905,32.76,4,0,0,0.202,21.51
13.441,31.03,12,0,0,0.399,27.7
3.575,38.6,2,5,1,0.012,6.07
13.913,29.15,15,1,0,0.331,29.31
14.971,13.82,18,1,0,0.992,66.62
11.259,31.76,15,0,0,0.336,22.83
2.443,33.3,0,4,0,0.253,4.75
8.043,32.74,11,3,0,0.324,15.6
3.626,39.83,6,3,0,0.065,6.82
14.539,32.51,4,0,0,0.282,27.78
14.491,34.71,6,5,1,0.12,27.51
8.279,38.02,10,6,1,0.077,13.92
14.323,33.17,20,4,0,0.214,27.95
10.176,31.79,1,0,0,0.23,20.83
3.0,26.38,12,2,0,0.484,7.22
14.454,37.34,11,5,1,0.022,25.23
12.358,36.84,20,3,0,0.151,21.27
11.425,14.83,7,1,0,0.868,46.98
0.509,38.95,13,5,1,0.079,2.97
2.369,36.9,17,6,1,0.03,5.82
3.889,39.23,4,5,1,0.096,7.85
12.133,34.98,17,6,1,0.125,21.95
12.871,30.74,14,0,0,0.324,25.6
7.381,32.31,10,0,0,0.408,15.7
5.444,38.45,17,6,1,0.102,8.63
8.536,13.33,8,0,0,0.974,40.69
9.266,35.64,1,3,0,0.167,18.05
11.711,24.76,10,2,0,0.534,28.9
10.499,35.68,2,1,0,0.087,17.86
4.828,35.99,20,1,0,0.099,9.29
4.501,33.16,1,0,0,0.213,8.2
6.575,35.07,5,6,1,0.102,13.1
1.258,24.71,13,1,0,0.562,3.94
10.979,32.15,23,2,0,0.272,21.72
1.688,26.42,15,4,0,0.475,5.67
5.162,21.75,19,1,0,0.651,15.37
1.052,36.86,21,1,0,0.158,2.22
2.096,33.39,10,6,1,0.251,5.58
2.17,35.91,14,6,1,0.2,4.13
13.262,31.23,10,1,0,0.394,27.23
2.124,19.89,18,2,0,0.789,8.86
11.235,26.02,10,4,0,0.527,26.34
11.009,32.82,23,3,0,0.204,20.63
11.312,27.23,14,2,0,0.5,24.96
11.084,39.46,4,3,0,0.019,17.98
3.468,33.98,2,4,0,0.195,6.82
5.856,32.77,1,5,1,0.158,12.13
2.977,26.91,12,1,0,0.396,6.93
14.567,33.91,11,5,1,0.241,27.75
4.81,40.27,5,2,0,0.044,9.12
14.093,40.75,10,5,1,0.047,21.36
12.712,23.9,10,3,0,0.483,33.84
13.937,36.86,17,5,1,0.121,22.82
7.699,30.05,12,4,0,0.42,17.38
2.724,35.87,6,6,1,0.112,4.94
12.078,13.4,7,3,0,0.924,54.53
14.361,19.03,9,1,0,0.742,46.54
7.653,36.28,4,2,0,0.15,13.05
5.635,18.7,7,2,0,0.756,19.74
3.625,29.88,1,1,0,0.219,7.7
3.219,39.29,19,5,1,0.026,6.08
3.023,33.09,15,2,0,0.305,7.03
10.121,34.9,14,5,1,0.065,17.7
12.847,31.82,2,4,0,0.292,26.68
1.912,17.9,7,3,0,0.855,7.28
13.961,38.01,1,4,0,0.165,22.68
5.786,39.92,14,5,1,0.058,10.76
8.659,35.09,0,2,0,0.115,15.06
8.264,19.55,9,1,0,0.721,27.23
14.484,21.65,14,4,0,0.598,41.83
10.681,41.41,1,5,1,0.005,17.24
0.815,38.88,2,0,0,0.049,1.29
5.762,28.74,14,3,0,0.555,14.25
7.516,37.89,21,4,0,0.083,13.35
9.892,35.23,9,5,1,0.185,18.12
8.413,34.44,14,5,1,0.133,16.36
13.137,13.92,16,0,0,0.992,57.59
4.375,38.86,20,1,0,0.028,8.66
13.555,24.68,11,2,0,0.494,34.58
12.455,41.78,3,3,0,0.022,17.9
8.014,33.37,22,6,1,0.276,16.83
8.338,11.9,8,1,0,0.978,43.19
3.984,36.46,12,6,1,0.137,8.01
5.673,39.8,7,6,1,0.018,9.03
9.293,28.29,13,2,0,0.458,21.5
8.931,33.6,4,1,0,0.267,16.02
4.077,38.31,6,6,1,0.189,7.78
11.268,35.0,4,6,1,0.169,21.19
10.554,18.87,9,3,0,0.711,34.81
5.278,33.9,22,3,0,0.257,9.85
13.164,17.87,16,2,0,0.809,44.25
6.499,24.07,8,3,0,0.619,17.19
3.388,13.94,9,3,0,0.91,16.42
12.061,31.96,5,1,0,0.266,24.11
1.992,35.44,4,1,0,0.116,5.33
7.647,33.73,19,5,1,0.22,13.79
9.459,16.45,19,4,0,0.751,36.89
13.175,35.18,21,5,1,0.214,22.97
2.588,32.92,1,2,0,0.187,5.79
4.678,34.98,11,1,0,0.315,8.18
10.958,37.05,5,3,0,0.104,18.41
10.448,19.05,16,2,0,0.707,35.25
11.612,36.33,22,1,0,0.135,21.17
8.432,26.36,14,1,0,0.526,21.07
11.05,40.3,2,1,0,0.108,17.47
14.571,26.99,15,1,0,0.448,33.08
1.454,38.47,6,5,1,0.071,3.24
6.934,40.82,19,6,1,0.008,10.7
1.661,38.67,23,2,0,0.011,4.22
4.658,39.09,12,6,1,0.105,7.67
8.288,35.8,1,6,1,0.188,15.07
14.417,33.76,6,4,0,0.272,25.82
5.712,39.4,4,1,0,0.07,8.99
5.229,39.02,6,0,0,0.075,9.19
9.301,35.79,5,0,0,0.168,16.43
8.026,13.68,8,0,0,0.879,37.06
11.379,37.08,0,4,0,0.145,19.15
4.251,38.55,8,5,1,0.086,8.1
9.314,33.78,1,6,1,0.203,17.02
12.372,36.33,20,4,0,0.197,21.81
7.059,33.47,23,3,0,0.191,15.09
12.471,36.85,23,3,0,0.113,21.96
13.733,36.99,21,3,0,0.151,23.37
5.426,28.08,12,0,0,0.386,12.04
10.579,34.01,18,6,1,0.145,19.64
13.681,24.96,11,3,0,0.531,34.27
14.195,28.57,10,0,0,0.457,30.11
2.371,33.27,5,3,0,0.281,6.19
4.093,38.55,5,0,0,0.031,8.19
3.395,30.28,14,1,0,0.36,8.36
11.803,28.95,0,3,0,0.292,25.18
1.531,27.3,11,1,0,0.523,4.74
13.982,22.05,8,1,0,0.628,39.19
9.34,19.29,8,1,0,0.78,30.29
13.474,38.77,10,6,1,0.079,22.66
3.249,21.6,17,1,0,0.636,9.47
3.971,39.11,1,2,0,0.075,6.89
2.457,23.83,10,0,0,0.472,8.05
13.456,36.09,23,3,0,0.1,24.23
2.704,35.57,0,5,1,0.262,5.87
13.18,36.43,1,5,1,0.197,22.29
13.034,26.68,10,4,0,0.508,29.49
11.957,22.79,13,3,0,0.503,33.48
8.647,18.31,18,0,0,0.742,29.76
11.308,21.17,19,2,0,0.721,33.19
12.36,18.14,8,3,0,0.818,41.13
3.865,33.5,21,1,0,0.247,9.07
6.519,41.59,18,5,1,0.073,11.62
13.388,38.45,21,4,0,0.011,22.33
11.905,16.92,7,4,0,0.82,42.23
0.66,17.48,9,3,0,0.866,4.04
3.079,39.89,23,1,0,0.043,6.23
12.875,14.31,9,0,0,0.953,55.05
11.34,33.98,2,0,0,0.217,21.49
3.026,28.6,11,0,0,0.353,6.79
13.77,24.92,8,3,0,0.625,33.32
14.602,31.99,13,3,0,0.37,29.59
5.26,22.71,15,4,0,0.561,14.97
4.665,18.76,9,4,0,0.781,17.39
1.294,14.8,17,0,0,0.793,7.07
13.184,14.23,8,1,0,0.922,57.7
8.483,39.43,9,5,1,0.037,13.56
4.193,38.18,22,4,0,0.029,7.91
1.328,26.12,10,3,0,0.366,5.05
11.222,14.93,9,4,0,0.826,45.54
1.947,12.65,16,2,0,0.918,9.82
14.021,33.1,2,0,0,0.243,27.42
14.016,32.12,9,5,1,0.224,28.59
4.704,18.93,17,4,0,0.755,15.71
14.06,37.19,4,1,0,0.117,23.41
8.991,14.07,17,0,0,0.888,40.21
7.96,24.68,13,2,0,0.551,20.35
12.899,29.42,14,6,1,0.273,28.26
0.781,29.54,10,5,1,0.298,2.15
13.156,23.07,9,0,0,0.68,36.0
5.067,30.68,1,0,0,0.287,11.46
5.433,18.34,7,2,0,0.774,18.26
3.271,19.16,7,1,0,0.706,11.05
7.25,33.14,9,6,1,0.28,13.64
5.694,28.71,15,2,0,0.453,14.23
6.062,32.34,1,0,0,0.269,13.26
0.553,37.21,17,5,1,0.144,2.46
11.561,37.64,11,6,1,0.107,19.12
12.117,32.72,8,5,1,0.271,23.17
11.448,36.44,3,2,0,0.159,19.1
12.277,32.83,15,2,0,0.363,22.53
6.344,27.45,11,0,0,0.509,15.46
5.148,33.44,12,6,1,0.128,11.15
7.72,32.78,21,4,0,0.244,16.3
10.259,34.44,19,6,1,0.17,18.44
13.296,30.14,15,1,0,0.373,28.74
1.85,31.52,11,3,0,0.408,5.28
14.362,37.32,18,5,1,0.12,25.47
